age,bmi,sex,shoulder_width,hip_width,height_ratio,waist_ratio,volume_indicator,waist_prominence,body_fat_percentage,category
50,22.52,1,0.4058,0.3275,0.9708,0.5077,0.1573,0.0042,17.6,Atlético - Masculino
19,23.37,1,0.4396,0.3807,1.0301,0.4966,0.148,0.0027,13.7,Atlético - Masculino
32,22.81,1,0.4688,0.4087,0.9504,0.5025,0.1248,0.0092,16.0,Atlético - Masculino
26,22.28,1,0.4702,0.3799,0.9568,0.4929,0.1524,0.0026,15.5,Atlético - Masculino
34,22.28,1,0.4199,0.3818,1.0116,0.4986,0.1319,0.0024,14.8,Atlético - Masculino
42,22.43,1,0.423,0.3726,0.9051,0.501,0.1391,0.0065,16.5,Atlético - Masculino
47,22.61,1,0.4717,0.4017,0.9138,0.4812,0.1479,0.0044,16.5,Atlético - Masculino
53,23.16,1,0.4446,0.358,1.0024,0.4775,0.1315,-0.0006,15.8,Atlético - Masculino
36,23.89,1,0.3872,0.3288,0.9122,0.4518,0.1387,-0.0031,15.3,Atlético - Masculino
22,23.35,1,0.3905,0.3203,1.0444,0.4872,0.1505,0.0085,16.7,Atlético - Masculino
41,22.46,1,0.3831,0.3243,0.882,0.4854,0.1578,0.0025,16.5,Atlético - Masculino
32,22.05,1,0.4175,0.3577,0.9388,0.4841,0.1078,0.0025,15.8,Atlético - Masculino
26,23.99,1,0.4186,0.3519,0.9583,0.5189,0.1173,0.0062,14.5,Atlético - Masculino
30,22.31,1,0.4102,0.341,0.8889,0.4879,0.1457,0.0034,15.7,Atlético - Masculino
63,22.12,1,0.3965,0.345,1.0499,0.4974,0.1141,0.0053,19.1,Atlético - Masculino
51,22.3,1,0.4421,0.3643,0.929,0.4842,0.1241,0.007,18.6,Atlético - Masculino
34,22.08,1,0.4399,0.3706,0.9417,0.4998,0.1544,0.0058,14.9,Atlético - Masculino
28,22.08,1,0.3834,0.3514,1.0398,0.4885,0.1035,0.003,16.3,Atlético - Masculino
61,23.03,1,0.4086,0.3368,1.0024,0.4838,0.1518,-0.0016,18.9,Atlético - Masculino
28,22.77,1,0.4256,0.3631,0.9704,0.5143,0.1217,0.0078,14.6,Atlético - Masculino
24,23.18,1,0.4693,0.379,1.0267,0.5169,0.112,0.0099,13.7,Atlético - Masculino
30,22.9,1,0.4729,0.3801,1.0244,0.518,0.1132,0.0091,15.3,Atlético - Masculino
38,23.05,1,0.4757,0.3811,1.0496,0.4751,0.1483,0.0003,14.6,Atlético - Masculino
57,23.35,1,0.454,0.371,1.0007,0.4706,0.1009,0.0048,17.7,Atlético - Masculino
26,23.54,1,0.4288,0.347,0.9315,0.5036,0.1508,0.003,15.3,Atlético - Masculino
55,22.81,1,0.4498,0.3601,0.8702,0.4714,0.1329,0.006,18.9,Atlético - Masculino
19,23.74,1,0.385,0.3114,0.9306,0.4554,0.13,0.0034,14.3,Atlético - Masculino
51,22.59,1,0.4706,0.3946,0.9453,0.4697,0.1482,0.0021,17.3,Atlético - Masculino
58,22.45,1,0.456,0.375,0.994,0.4653,0.102,0.001,15.9,Atlético - Masculino
27,23.73,1,0.4042,0.358,1.0145,0.491,0.1375,0.0049,13.7,Atlético - Masculino
39,23.61,1,0.4201,0.3441,1.0264,0.4894,0.1072,0.0048,15.8,Atlético - Masculino
28,23.65,1,0.4393,0.3987,0.9667,0.469,0.1241,0.0046,15.2,Atlético - Masculino
23,22.93,1,0.416,0.3463,1.0185,0.4673,0.1445,0.0004,13.5,Atlético - Masculino
53,22.63,1,0.4736,0.4173,0.8732,0.5135,0.1566,0.0004,16.6,Atlético - Masculino
46,22.08,1,0.4466,0.4091,1.0022,0.4771,0.138,0.0047,15.3,Atlético - Masculino
64,23.9,1,0.4799,0.39,0.9497,0.5161,0.1161,0.013,18.5,Atlético - Masculino
58,22.77,1,0.3803,0.3434,0.8872,0.4833,0.1067,0.0075,17.9,Atlético - Masculino
53,23.1,1,0.468,0.3865,0.9856,0.5095,0.1127,0.0047,18.9,Atlético - Masculino
51,23.22,1,0.4775,0.385,0.9864,0.4776,0.1558,0.0043,17.0,Atlético - Masculino
18,22.94,1,0.3912,0.3371,0.9035,0.5123,0.1172,0.0044,13.1,Atlético - Masculino
63,23.67,1,0.4749,0.3817,0.9972,0.4669,0.1547,0.0039,19.6,Atlético - Masculino
29,22.66,1,0.4319,0.3806,0.9124,0.4917,0.1006,0.0059,14.4,Atlético - Masculino
64,23.55,1,0.3876,0.3279,0.9235,0.4654,0.1079,0.0029,19.0,Atlético - Masculino
24,22.36,1,0.4148,0.3504,0.8503,0.4512,0.1176,0.0014,15.4,Atlético - Masculino
53,22.6,1,0.463,0.4041,0.9082,0.4884,0.1528,0.0056,19.7,Atlético - Masculino
21,22.41,1,0.4273,0.3449,0.9843,0.513,0.1426,0.0065,14.2,Atlético - Masculino
57,23.16,1,0.4763,0.3853,0.9231,0.516,0.1471,0.0063,17.4,Atlético - Masculino
61,22.45,1,0.4076,0.3741,0.9555,0.4934,0.1538,0.0031,19.5,Atlético - Masculino
48,23.81,1,0.4091,0.3503,1.028,0.4972,0.1156,0.0067,16.1,Atlético - Masculino
43,23.42,1,0.3934,0.36,0.9559,0.4603,0.1005,-0.0007,16.9,Atlético - Masculino
38,22.48,1,0.4259,0.3694,1.0228,0.5174,0.1373,0.0025,15.5,Atlético - Masculino
62,22.96,1,0.4761,0.3921,1.0403,0.4535,0.1506,-0.0,18.3,Atlético - Masculino
43,23.99,1,0.3976,0.3283,0.8526,0.4866,0.1131,0.0064,15.7,Atlético - Masculino
61,22.03,1,0.4557,0.3734,0.9454,0.5055,0.1545,0.0067,18.6,Atlético - Masculino
64,23.44,1,0.4403,0.3964,1.0069,0.4662,0.1275,0.004,18.3,Atlético - Masculino
45,22.75,1,0.4648,0.4125,0.8691,0.466,0.1381,0.0002,14.9,Atlético - Masculino
46,22.86,1,0.4198,0.3821,1.0487,0.4837,0.1397,0.0026,15.5,Atlético - Masculino
46,22.09,1,0.4076,0.3565,1.0485,0.4837,0.1381,0.0034,15.4,Atlético - Masculino
44,22.77,1,0.4029,0.3685,0.8796,0.4791,0.1508,0.0048,17.6,Atlético - Masculino
58,23.36,1,0.4317,0.3846,0.9065,0.5165,0.1349,0.0123,16.7,Atlético - Masculino
64,22.71,1,0.4623,0.4192,0.9589,0.5133,0.1508,0.0103,19.4,Atlético - Masculino
25,22.41,1,0.3871,0.3129,1.0382,0.463,0.1199,0.0009,14.4,Atlético - Masculino
20,23.01,1,0.4625,0.3986,0.9427,0.4567,0.1496,-0.0004,13.7,Atlético - Masculino
40,22.09,1,0.439,0.3545,0.9224,0.5152,0.1235,0.0112,18.9,Atlético - Masculino
57,23.45,1,0.3801,0.3374,1.0434,0.4658,0.1183,-0.0008,15.5,Atlético - Masculino
53,22.45,1,0.4125,0.3653,1.0134,0.5019,0.1509,-0.0,16.1,Atlético - Masculino
64,22.36,1,0.4391,0.3861,0.8657,0.5065,0.1591,0.0037,20.3,Atlético - Masculino
27,23.09,1,0.4428,0.3799,0.9223,0.4514,0.1161,-0.0041,13.3,Atlético - Masculino
64,23.9,1,0.4309,0.3638,1.0366,0.5,0.1455,0.0051,16.9,Atlético - Masculino
57,23.66,1,0.3925,0.3541,0.9189,0.4626,0.1059,0.0012,17.4,Atlético - Masculino
58,22.06,1,0.4527,0.3927,1.0394,0.4637,0.1207,0.0034,18.1,Atlético - Masculino
20,22.99,1,0.3816,0.3411,0.8749,0.4838,0.1304,0.0061,13.3,Atlético - Masculino
50,23.6,1,0.4617,0.3996,1.0434,0.5179,0.1263,0.0088,15.5,Atlético - Masculino
18,22.1,1,0.4609,0.4062,0.975,0.4716,0.1289,0.004,13.0,Atlético - Masculino
39,22.63,1,0.4372,0.3934,1.0312,0.4971,0.1478,0.0068,14.0,Atlético - Masculino
33,22.02,1,0.3991,0.339,1.037,0.4614,0.1112,0.0017,14.6,Atlético - Masculino
45,22.86,1,0.4233,0.3734,0.9165,0.4783,0.1041,0.0012,16.9,Atlético - Masculino
64,22.11,1,0.3916,0.35,1.0071,0.4767,0.1589,0.0052,19.8,Atlético - Masculino
37,23.2,1,0.3868,0.3335,0.8859,0.4694,0.1166,0.0036,15.2,Atlético - Masculino
22,23.94,1,0.4004,0.3453,0.8648,0.5185,0.1333,0.0075,12.4,Atlético - Masculino
51,23.21,1,0.4769,0.416,0.8654,0.4838,0.1161,0.0066,15.3,Atlético - Masculino
55,22.15,1,0.3892,0.3372,0.9783,0.4548,0.1258,0.0002,18.9,Atlético - Masculino
23,23.41,1,0.4113,0.3424,0.9695,0.4676,0.1406,0.0049,15.3,Atlético - Masculino
18,23.73,1,0.4739,0.3795,1.0045,0.4582,0.1269,-0.0022,12.8,Atlético - Masculino
47,23.25,1,0.4053,0.3461,1.0415,0.4976,0.1245,0.0049,15.9,Atlético - Masculino
62,22.8,1,0.4298,0.3822,0.9154,0.4932,0.1444,0.0064,16.6,Atlético - Masculino
38,23.78,1,0.4523,0.3624,0.9679,0.514,0.126,0.0048,13.7,Atlético - Masculino
58,23.23,1,0.3814,0.3165,0.8929,0.4669,0.1428,0.0034,17.9,Atlético - Masculino
51,22.54,1,0.4473,0.3622,1.0403,0.4544,0.1275,0.0034,18.1,Atlético - Masculino
55,23.68,1,0.4197,0.3617,0.9007,0.4768,0.1296,0.0059,16.3,Atlético - Masculino
25,23.98,1,0.4338,0.3611,0.9237,0.4548,0.1223,0.0018,14.8,Atlético - Masculino
26,23.79,1,0.4438,0.3994,0.9499,0.4525,0.1472,0.0042,13.9,Atlético - Masculino
60,23.07,1,0.4244,0.3406,0.9102,0.5155,0.1038,0.0046,18.4,Atlético - Masculino
60,23.01,1,0.421,0.3699,0.902,0.4844,0.1556,0.0045,18.1,Atlético - Masculino
46,22.32,1,0.4614,0.4071,0.8721,0.4549,0.1111,0.0038,16.4,Atlético - Masculino
21,22.58,1,0.4543,0.3676,1.0245,0.5147,0.1266,0.0013,14.0,Atlético - Masculino
63,23.66,1,0.4306,0.3931,1.0253,0.514,0.1572,0.0027,17.4,Atlético - Masculino
26,22.21,1,0.4594,0.4163,0.919,0.4554,0.1497,0.0024,11.9,Atlético - Masculino
47,22.92,1,0.3979,0.3515,0.8959,0.4807,0.1366,0.0049,15.3,Atlético - Masculino
34,22.24,1,0.4097,0.3544,0.919,0.5018,0.1518,0.0095,16.1,Atlético - Masculino
49,22.83,1,0.4022,0.3469,0.9716,0.5124,0.1145,0.0036,16.1,Atlético - Masculino
64,22.49,1,0.4216,0.359,0.9582,0.4774,0.1141,0.0063,20.0,Atlético - Masculino
64,23.39,1,0.4375,0.3512,1.039,0.5028,0.1122,0.0068,15.9,Atlético - Masculino
46,23.39,1,0.4565,0.4024,1.0046,0.4807,0.1588,0.0004,17.1,Atlético - Masculino
18,23.9,1,0.4361,0.3817,0.9877,0.4513,0.1476,0.001,12.5,Atlético - Masculino
42,22.51,1,0.4674,0.3853,0.8755,0.5012,0.1418,0.0044,17.3,Atlético - Masculino
24,22.57,1,0.4188,0.3754,1.0304,0.4816,0.111,0.0011,13.8,Atlético - Masculino
49,22.41,1,0.4648,0.4023,1.0463,0.4529,0.1288,0.003,15.7,Atlético - Masculino
30,22.9,1,0.4151,0.3506,0.8637,0.5063,0.126,0.0023,13.8,Atlético - Masculino
28,22.74,1,0.3805,0.3412,1.0046,0.496,0.1425,0.0041,16.4,Atlético - Masculino
42,23.1,1,0.415,0.3658,1.0017,0.4907,0.1256,0.0079,18.5,Atlético - Masculino
36,22.03,1,0.469,0.4174,1.0316,0.4934,0.1445,0.0031,14.6,Atlético - Masculino
20,23.52,1,0.4558,0.3814,0.933,0.4803,0.1465,0.0038,14.7,Atlético - Masculino
33,23.43,1,0.4225,0.384,0.9514,0.4642,0.1188,-0.0001,13.1,Atlético - Masculino
34,22.38,1,0.4758,0.4053,0.9599,0.4909,0.108,-0.0012,11.8,Atlético - Masculino
20,23.07,1,0.3991,0.3525,0.8937,0.5157,0.1382,0.0027,12.6,Atlético - Masculino
39,23.19,1,0.4783,0.4278,1.0047,0.4544,0.1466,0.0009,16.7,Atlético - Masculino
50,23.5,1,0.4357,0.3506,0.9834,0.4803,0.1019,0.0024,17.0,Atlético - Masculino
63,22.65,1,0.4049,0.3519,0.8635,0.5122,0.1195,0.007,18.1,Atlético - Masculino
37,22.19,1,0.3806,0.3257,0.9642,0.5132,0.156,0.0079,17.2,Atlético - Masculino
30,22.61,1,0.4366,0.3657,0.9809,0.4591,0.1013,0.0054,13.9,Atlético - Masculino
55,22.46,1,0.3933,0.3388,0.8511,0.4512,0.155,-0.002,18.1,Atlético - Masculino
22,23.88,1,0.4557,0.3887,0.9915,0.5105,0.1352,0.0063,13.7,Atlético - Masculino
37,22.78,1,0.4419,0.387,0.9439,0.4899,0.1521,-0.0003,13.8,Atlético - Masculino
21,22.89,1,0.4749,0.4274,0.9225,0.5103,0.1277,0.0058,14.3,Atlético - Masculino
40,23.73,1,0.4774,0.3859,0.9609,0.5148,0.1379,0.0067,15.0,Atlético - Masculino
24,23.5,1,0.4468,0.4023,0.8839,0.492,0.1108,0.0032,15.7,Atlético - Masculino
50,22.04,1,0.4761,0.4115,0.9477,0.4927,0.142,0.0057,17.0,Atlético - Masculino
30,22.8,1,0.4541,0.3684,0.9688,0.4909,0.15,0.0023,15.7,Atlético - Masculino
46,23.41,1,0.4683,0.4117,0.8922,0.4796,0.1051,0.0062,16.4,Atlético - Masculino
64,23.73,1,0.3925,0.3235,0.8932,0.4978,0.1225,0.0056,18.1,Atlético - Masculino
48,23.38,1,0.4775,0.4288,1.0205,0.5181,0.1279,0.0049,16.1,Atlético - Masculino
36,23.88,1,0.4275,0.3448,1.0385,0.4886,0.1474,0.0005,14.8,Atlético - Masculino
32,22.15,1,0.4598,0.3859,0.9099,0.4603,0.1584,-0.0033,14.2,Atlético - Masculino
27,22.47,1,0.4011,0.3598,0.8794,0.468,0.1213,0.0011,14.4,Atlético - Masculino
41,22.69,1,0.4363,0.3912,0.8774,0.4608,0.105,-0.0039,14.4,Atlético - Masculino
57,23.16,1,0.4784,0.4055,0.993,0.4713,0.1187,0.0022,18.2,Atlético - Masculino
51,22.56,1,0.4577,0.4135,0.9128,0.4821,0.1435,0.0091,17.4,Atlético - Masculino
56,23.08,1,0.4456,0.3864,0.9874,0.4894,0.1459,-0.0035,18.1,Atlético - Masculino
52,23.32,1,0.4314,0.3919,1.028,0.506,0.1074,0.0033,18.4,Atlético - Masculino
23,23.64,1,0.403,0.3491,0.9244,0.4897,0.1348,0.0108,14.6,Atlético - Masculino
55,23.32,1,0.4291,0.3642,1.0306,0.4592,0.1513,0.0024,17.8,Atlético - Masculino
55,23.21,1,0.4598,0.3881,0.8674,0.5179,0.1343,0.0054,16.0,Atlético - Masculino
48,23.11,1,0.4322,0.3763,1.0003,0.4901,0.1203,0.0046,14.6,Atlético - Masculino
59,23.25,1,0.4258,0.3586,0.8688,0.5055,0.1376,0.0035,17.9,Atlético - Masculino
44,22.97,1,0.4708,0.4031,0.9433,0.4528,0.1175,-0.0007,14.2,Atlético - Masculino
33,23.52,1,0.4735,0.4002,0.9916,0.4931,0.1456,0.0101,15.9,Atlético - Masculino
60,22.95,1,0.4415,0.4015,0.952,0.4521,0.1123,0.0016,15.4,Atlético - Masculino
40,23.0,1,0.4136,0.354,1.0047,0.4938,0.1167,0.0022,16.2,Atlético - Masculino
25,23.83,1,0.4192,0.3731,0.8751,0.4697,0.1104,0.0062,13.5,Atlético - Masculino
49,23.55,1,0.4549,0.3875,0.8675,0.489,0.1514,-0.0002,15.3,Atlético - Masculino
28,22.57,1,0.4453,0.3665,0.9091,0.4705,0.1199,0.0063,16.0,Atlético - Masculino
54,23.24,1,0.4763,0.3817,0.9932,0.5119,0.1443,0.0031,15.9,Atlético - Masculino
63,23.41,1,0.465,0.3769,1.0483,0.5056,0.1167,0.0042,17.0,Atlético - Masculino
29,23.08,1,0.4768,0.407,0.9503,0.463,0.1224,-0.0012,13.7,Atlético - Masculino
59,22.49,1,0.4094,0.3332,1.0383,0.5133,0.1389,0.0037,16.8,Atlético - Masculino
52,23.57,1,0.4685,0.4251,1.0318,0.4649,0.1398,-0.0029,14.1,Atlético - Masculino
18,22.63,1,0.4663,0.4191,0.8847,0.4808,0.1438,0.0039,13.9,Atlético - Masculino
55,22.97,1,0.4432,0.3856,0.928,0.4978,0.157,0.0061,17.4,Atlético - Masculino
60,22.71,1,0.4621,0.4011,0.9814,0.4741,0.144,0.0046,17.7,Atlético - Masculino
27,23.8,1,0.3904,0.3394,0.9428,0.4729,0.1006,0.0042,14.7,Atlético - Masculino
62,22.24,1,0.45,0.3933,1.0227,0.491,0.1136,0.0048,18.0,Atlético - Masculino
56,22.45,1,0.4619,0.424,0.9019,0.4621,0.1341,0.003,16.9,Atlético - Masculino
38,23.94,1,0.4789,0.4162,0.8776,0.4668,0.1087,-0.0022,14.4,Atlético - Masculino
59,23.38,1,0.4163,0.3733,0.9156,0.5076,0.1492,-0.0009,16.1,Atlético - Masculino
34,22.42,1,0.3983,0.3253,0.9653,0.5084,0.1215,0.0061,15.7,Atlético - Masculino
30,23.52,1,0.4332,0.3482,0.9451,0.4821,0.1182,0.0041,14.9,Atlético - Masculino
23,22.82,1,0.4645,0.3841,0.8978,0.4958,0.1372,0.0063,13.6,Atlético - Masculino
60,23.02,1,0.4481,0.4091,0.8594,0.4531,0.1416,-0.0024,17.2,Atlético - Masculino
34,22.64,1,0.4332,0.3745,0.9056,0.5129,0.1577,0.0108,16.5,Atlético - Masculino
21,22.43,1,0.451,0.366,0.9135,0.4889,0.1017,0.0044,12.1,Atlético - Masculino
48,23.94,1,0.443,0.3758,1.0005,0.5171,0.1132,0.007,17.0,Atlético - Masculino
22,23.06,1,0.4458,0.3571,1.0386,0.5047,0.1239,0.0082,13.6,Atlético - Masculino
61,22.47,1,0.4284,0.3692,0.9117,0.4765,0.1549,0.0051,18.1,Atlético - Masculino
20,23.15,1,0.4034,0.3329,1.0214,0.508,0.1428,0.0024,14.7,Atlético - Masculino
52,23.64,1,0.479,0.3847,0.9707,0.5163,0.124,0.0042,17.6,Atlético - Masculino
50,23.32,1,0.4297,0.391,1.0053,0.4802,0.1183,0.0028,17.4,Atlético - Masculino
64,22.26,1,0.39,0.3128,0.9823,0.503,0.1539,0.0047,18.1,Atlético - Masculino
51,23.2,1,0.408,0.34,0.8572,0.4554,0.1141,-0.0018,14.7,Atlético - Masculino
28,23.85,1,0.4747,0.4243,0.9127,0.4794,0.1006,0.0047,15.0,Atlético - Masculino
59,22.5,1,0.4075,0.3607,0.9043,0.4912,0.1239,0.0044,17.8,Atlético - Masculino
64,23.81,1,0.3963,0.3276,0.9135,0.4859,0.1117,0.0033,17.1,Atlético - Masculino
25,22.52,1,0.4671,0.3783,0.8922,0.5151,0.1057,0.0003,13.4,Atlético - Masculino
62,23.5,1,0.4494,0.3893,0.8933,0.5109,0.1455,0.0055,19.5,Atlético - Masculino
54,22.42,1,0.4161,0.3533,0.9859,0.5032,0.1092,0.0039,16.2,Atlético - Masculino
53,22.11,1,0.4776,0.4018,0.9175,0.4909,0.1203,0.0024,17.5,Atlético - Masculino
26,22.62,1,0.4626,0.4075,1.0149,0.4661,0.1247,0.0046,13.0,Atlético - Masculino
37,22.79,1,0.3917,0.3213,0.9204,0.4959,0.1321,0.0054,12.2,Atlético - Masculino
38,23.52,1,0.4211,0.3585,0.9161,0.5106,0.1174,0.0127,15.7,Atlético - Masculino
33,23.13,1,0.3929,0.319,0.9706,0.4951,0.1014,-0.0004,13.3,Atlético - Masculino
29,23.05,1,0.4053,0.3663,0.8706,0.4528,0.1534,0.0032,14.7,Atlético - Masculino
57,22.25,1,0.4124,0.3626,0.9804,0.4565,0.1578,0.0036,18.1,Atlético - Masculino
33,22.5,1,0.4797,0.3943,0.9688,0.4649,0.1073,0.0002,15.1,Atlético - Masculino
26,22.82,1,0.3828,0.3352,0.9353,0.4826,0.1008,0.003,13.8,Atlético - Masculino
41,23.1,1,0.4606,0.4012,0.8832,0.4845,0.138,0.0025,16.9,Atlético - Masculino
38,23.07,1,0.4717,0.4004,0.8787,0.5056,0.1254,0.0004,19.4,Fitness - Masculino
53,25.14,1,0.4414,0.3839,0.9007,0.5581,0.1671,0.0123,25.3,Fitness - Masculino
33,25.27,1,0.3816,0.3387,0.9147,0.5174,0.1597,0.01,24.5,Fitness - Masculino
31,25.0,1,0.4118,0.3737,0.979,0.5102,0.1276,0.0056,14.4,Fitness - Masculino
31,23.86,1,0.4054,0.325,0.9581,0.5095,0.12,0.003,19.0,Fitness - Masculino
37,25.55,1,0.418,0.3649,0.9277,0.5453,0.1509,0.0089,22.4,Fitness - Masculino
18,23.72,1,0.4674,0.4297,0.9665,0.5252,0.1258,0.0113,15.8,Fitness - Masculino
64,25.44,1,0.4495,0.3792,0.9977,0.5255,0.1493,0.0079,26.0,Fitness - Masculino
61,25.0,1,0.43,0.3817,0.9738,0.5555,0.162,0.011,24.0,Fitness - Masculino
39,23.56,1,0.4026,0.3487,0.9547,0.5246,0.1495,0.0051,20.1,Fitness - Masculino
40,23.85,1,0.4344,0.3597,0.9776,0.5468,0.1525,0.0093,19.6,Fitness - Masculino
55,25.46,1,0.4453,0.3645,1.0454,0.5419,0.1363,0.0131,23.4,Fitness - Masculino
64,24.63,1,0.4502,0.3902,0.9217,0.5292,0.1585,0.0032,22.8,Fitness - Masculino
63,25.73,1,0.4476,0.3746,0.924,0.5586,0.1754,0.0116,27.0,Fitness - Masculino
62,24.65,1,0.3862,0.3247,0.9512,0.5096,0.1551,0.0055,22.0,Fitness - Masculino
47,23.49,1,0.4786,0.3829,0.9728,0.5399,0.1264,0.0078,21.3,Fitness - Masculino
55,24.85,1,0.3998,0.3285,0.9025,0.5364,0.1449,0.006,21.4,Fitness - Masculino
55,24.58,1,0.3838,0.3356,0.9896,0.5695,0.1378,0.012,21.1,Fitness - Masculino
24,23.64,1,0.4603,0.3981,0.8659,0.5476,0.1723,0.0033,19.8,Fitness - Masculino
31,24.7,1,0.467,0.3944,0.9729,0.5119,0.1303,0.0064,18.6,Fitness - Masculino
63,24.57,1,0.4629,0.4138,0.9054,0.5604,0.1552,0.0166,23.4,Fitness - Masculino
18,25.82,1,0.4403,0.3946,0.9439,0.5258,0.1793,0.0041,19.7,Fitness - Masculino
54,24.27,1,0.4418,0.3716,1.0248,0.5008,0.1737,0.0063,20.4,Fitness - Masculino
46,23.04,1,0.4181,0.3372,0.9699,0.5224,0.1279,0.0128,20.3,Fitness - Masculino
61,25.71,1,0.4241,0.3494,0.9029,0.5602,0.1743,0.0085,26.1,Fitness - Masculino
41,24.51,1,0.4399,0.3737,1.0416,0.5444,0.1696,0.0123,22.2,Fitness - Masculino
45,24.62,1,0.462,0.4153,1.0075,0.5332,0.1209,0.0064,20.0,Fitness - Masculino
27,23.85,1,0.4044,0.3526,0.927,0.5434,0.1424,0.0098,17.6,Fitness - Masculino
46,25.56,1,0.4306,0.3477,0.8642,0.5387,0.143,0.0075,23.3,Fitness - Masculino
30,24.72,1,0.4718,0.4214,1.0145,0.5796,0.1321,0.0098,18.2,Fitness - Masculino
54,25.71,1,0.4252,0.3879,1.0468,0.5361,0.1398,0.0044,26.2,Fitness - Masculino
63,25.39,1,0.3943,0.3335,0.9609,0.5415,0.1348,0.0093,24.9,Fitness - Masculino
45,23.23,1,0.3824,0.3213,0.8854,0.5513,0.1446,0.0012,19.7,Fitness - Masculino
20,23.3,1,0.3851,0.3366,0.8916,0.5774,0.153,0.0073,18.5,Fitness - Masculino
62,24.76,1,0.415,0.371,1.0485,0.538,0.1753,0.0075,22.3,Fitness - Masculino
63,23.72,1,0.454,0.3965,0.8533,0.5769,0.1638,0.0181,23.6,Fitness - Masculino
29,23.58,1,0.4604,0.4162,0.8619,0.5585,0.1452,0.0133,19.7,Fitness - Masculino
51,25.08,1,0.4369,0.3526,0.9766,0.5522,0.1476,0.0123,26.1,Fitness - Masculino
62,25.31,1,0.4469,0.3835,0.9337,0.5106,0.1295,0.0041,22.5,Fitness - Masculino
60,24.07,1,0.4115,0.3403,0.8638,0.528,0.1346,0.0039,22.1,Fitness - Masculino
59,25.48,1,0.4545,0.3861,0.8892,0.5378,0.1226,0.0049,25.6,Fitness - Masculino
62,24.54,1,0.4399,0.3791,0.9076,0.5391,0.128,0.0065,20.1,Fitness - Masculino
23,23.02,1,0.3905,0.3184,0.9648,0.5726,0.1346,0.01,17.2,Fitness - Masculino
36,23.18,1,0.4697,0.3868,0.8545,0.5501,0.153,0.0107,18.6,Fitness - Masculino
60,25.58,1,0.4412,0.3686,0.9011,0.547,0.139,0.0123,26.0,Fitness - Masculino
50,23.98,1,0.4355,0.3791,0.9353,0.5215,0.1319,0.0043,19.4,Fitness - Masculino
60,24.85,1,0.4083,0.3463,1.0124,0.507,0.1303,0.0011,20.6,Fitness - Masculino
57,23.04,1,0.4463,0.3934,1.0363,0.5535,0.1679,0.0162,21.7,Fitness - Masculino
27,25.99,1,0.3857,0.3149,0.8502,0.5167,0.128,0.0021,21.3,Fitness - Masculino
59,25.71,1,0.4558,0.4062,0.9125,0.5687,0.15,0.0071,26.2,Fitness - Masculino
40,24.23,1,0.4174,0.3783,0.8803,0.5496,0.1682,0.0084,19.8,Fitness - Masculino
37,23.46,1,0.4375,0.3609,0.9509,0.5315,0.1278,0.0111,21.1,Fitness - Masculino
35,23.94,1,0.3807,0.3285,1.0343,0.5165,0.1388,0.0026,19.7,Fitness - Masculino
58,25.44,1,0.3862,0.3315,0.8718,0.5296,0.1651,0.0028,24.1,Fitness - Masculino
45,23.75,1,0.4671,0.4177,0.9047,0.548,0.1491,0.0112,21.1,Fitness - Masculino
35,25.74,1,0.4446,0.3829,0.874,0.5756,0.161,0.0111,21.9,Fitness - Masculino
20,23.94,1,0.4483,0.3713,1.0387,0.5142,0.1203,0.0036,16.4,Fitness - Masculino
49,25.61,1,0.3882,0.3407,0.975,0.5627,0.1682,0.0101,25.6,Fitness - Masculino
62,24.92,1,0.4183,0.3431,1.0173,0.5043,0.163,0.0089,21.6,Fitness - Masculino
53,24.65,1,0.4781,0.436,1.0368,0.5462,0.1385,0.0131,21.7,Fitness - Masculino
31,24.21,1,0.4525,0.3681,0.9316,0.5537,0.1618,0.0119,20.3,Fitness - Masculino
32,25.66,1,0.4495,0.3936,1.0227,0.5057,0.141,0.0043,21.2,Fitness - Masculino
57,23.4,1,0.4776,0.4032,0.9214,0.5314,0.1284,0.0076,20.9,Fitness - Masculino
51,24.03,1,0.4197,0.3596,0.9403,0.5134,0.1478,0.0041,19.5,Fitness - Masculino
47,25.61,1,0.462,0.4056,0.9338,0.5332,0.1453,0.0058,23.8,Fitness - Masculino
19,24.37,1,0.4646,0.3861,0.8503,0.5745,0.1596,0.0084,19.5,Fitness - Masculino
54,24.13,1,0.392,0.3168,0.9948,0.5163,0.1451,0.0042,20.4,Fitness - Masculino
50,25.79,1,0.4544,0.4023,0.8969,0.5564,0.1385,0.0093,23.4,Fitness - Masculino
23,25.25,1,0.4425,0.3583,0.9404,0.5086,0.134,0.0032,20.7,Fitness - Masculino
60,25.22,1,0.4283,0.3934,1.0009,0.554,0.1505,0.0102,26.5,Fitness - Masculino
18,23.75,1,0.4335,0.3914,0.9152,0.5709,0.1439,0.0094,17.9,Fitness - Masculino
23,25.86,1,0.3868,0.3181,0.9611,0.527,0.1697,0.0048,21.0,Fitness - Masculino
52,23.87,1,0.464,0.3901,0.9918,0.5291,0.1463,0.0081,22.4,Fitness - Masculino
55,25.98,1,0.4435,0.3614,0.8641,0.5256,0.1299,0.0059,24.3,Fitness - Masculino
18,25.73,1,0.3969,0.3582,0.8526,0.5657,0.1527,0.012,21.9,Fitness - Masculino
